evidence_id,case_id,original_file_name,stored_file_name,file_extension,file_size_bytes,sha256_before,sha256_after,hash_verified,upload_time,processing_time,status,investigator_notes
EVID_00001,CASE_2CF24DBA5F,yeti.jpg,EVID_00001__be3db66b__yeti.jpg,.jpg,82432,8f2e60ea6fc0eeffd209e28eb29228797104b60a2505934fc3d42642c100ea79,8f2e60ea6fc0eeffd209e28eb29228797104b60a2505934fc3d42642c100ea79,True,2026-07-25T12:50:00.695Z,2026-07-25T12:52:43.470Z,processed,
EVID_00002,CASE_2CF24DBA5F,whatsapp_chat_export.txt,EVID_00002__adaeb6a6__whatsapp_chat_export.txt,.txt,303,c7ab347cfbd2b80c944c85b3442f3b2c400da1d3b92962f9ded8598e1e06cfb2,c7ab347cfbd2b80c944c85b3442f3b2c400da1d3b92962f9ded8598e1e06cfb2,True,2026-07-25T12:53:07.182Z,2026-07-25T12:53:07.185Z,processed,
EVID_00003,CASE_2CF24DBA5F,romanchat.jpg,EVID_00003__ab29095a__romanchat.jpg,.jpg,33294,0340d5863313f4cc0b9b40ed835a77a71b8304d2e08eb32f08a56ed93a6e0b10,0340d5863313f4cc0b9b40ed835a77a71b8304d2e08eb32f08a56ed93a6e0b10,True,2026-07-25T12:53:23.174Z,2026-07-25T12:53:33.344Z,processed,
EVID_00004,CASE_2CF24DBA5F,phishing_email_screenshot.png,EVID_00004__48d925b5__phishing_email_screenshot.png,.png,11738,8ef0f27a84960b656d9051892e36096ce56fe9f30eb9a935d4d4330a002b9b7f,8ef0f27a84960b656d9051892e36096ce56fe9f30eb9a935d4d4330a002b9b7f,True,2026-07-25T12:53:47.011Z,2026-07-25T12:53:51.641Z,processed,
EVID_00005,CASE_EE8250FB76,08_complaint_letter.pdf,EVID_00005__238e5145__08_complaint_letter.pdf,.pdf,3750,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,True,2026-07-25T16:24:17.560Z,2026-07-25T16:24:17.841Z,processed,
EVID_00006,CASE_EE8250FB76,07_bank_transfer_slip.pdf,EVID_00006__ae2ee49e__07_bank_transfer_slip.pdf,.pdf,108986,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,,None,2026-07-25T16:24:18.091Z,,uploaded,
EVID_00007,CASE_185915593C,01_sms_screenshot.jpg,EVID_00007__43087bac__01_sms_screenshot.jpg,.jpg,19872,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,True,2026-07-25T17:16:30.233Z,2026-07-25T17:16:46.654Z,processed,repro
EVID_00008,CASE_185915593C,02_messenger_chat.jpg,EVID_00008__24fa44ef__02_messenger_chat.jpg,.jpg,64791,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,True,2026-07-25T17:17:07.920Z,2026-07-25T17:17:42.718Z,processed,repro
EVID_00009,CASE_185915593C,03_qr_code_flyer.png,EVID_00009__4a5c4214__03_qr_code_flyer.png,.png,34318,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,True,2026-07-25T17:18:32.458Z,2026-07-25T17:18:41.657Z,processed,repro
EVID_00010,CASE_185915593C,04_esewa_payment_screenshot.jpg,EVID_00010__2dd175d2__04_esewa_payment_screenshot.jpg,.jpg,22001,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,True,2026-07-25T17:18:54.475Z,2026-07-25T17:19:04.743Z,processed,repro
EVID_00011,CASE_185915593C,05_khalti_receipt.jpg,EVID_00011__2a6393e0__05_khalti_receipt.jpg,.jpg,23769,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,True,2026-07-25T17:19:57.040Z,2026-07-25T17:20:06.286Z,processed,repro
EVID_00012,CASE_185915593C,06_phishing_email_screenshot.jpg,EVID_00012__72886ed6__06_phishing_email_screenshot.jpg,.jpg,25904,b6ec522eddc05475f9ec7671ec46098a129fa8be863cc270c97b42b702e71134,b6ec522eddc05475f9ec7671ec46098a129fa8be863cc270c97b42b702e71134,True,2026-07-25T17:20:21.991Z,2026-07-25T17:20:36.056Z,processed,repro
EVID_00013,CASE_185915593C,07_bank_transfer_slip.pdf,EVID_00013__f45f620d__07_bank_transfer_slip.pdf,.pdf,108986,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,True,2026-07-25T17:20:51.466Z,2026-07-25T17:26:17.140Z,processed,repro
EVID_00014,CASE_185915593C,08_complaint_letter.pdf,EVID_00014__063e17da__08_complaint_letter.pdf,.pdf,3750,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,True,2026-07-25T17:26:20.455Z,2026-07-25T17:26:20.523Z,processed,repro
EVID_00015,CASE_1A1BF573F3,01_sms_screenshot.jpg,EVID_00015__ccf57c11__01_sms_screenshot.jpg,.jpg,19872,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,True,2026-08-03T13:59:40.493Z,2026-08-03T14:00:02.179Z,processed,
EVID_00016,CASE_1A1BF573F3,02_messenger_chat.jpg,EVID_00016__958539b6__02_messenger_chat.jpg,.jpg,64791,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,True,2026-08-03T14:00:03.497Z,2026-08-03T14:00:13.748Z,processed,
EVID_00017,CASE_1A1BF573F3,03_qr_code_flyer.png,EVID_00017__05312fde__03_qr_code_flyer.png,.png,34318,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,True,2026-08-03T14:00:14.886Z,2026-08-03T14:00:17.583Z,processed,
EVID_00018,CASE_1A1BF573F3,04_esewa_payment_screenshot.jpg,EVID_00018__0a935ec9__04_esewa_payment_screenshot.jpg,.jpg,22001,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,True,2026-08-03T14:00:18.299Z,2026-08-03T14:00:21.702Z,processed,
EVID_00019,CASE_1A1BF573F3,05_khalti_receipt.jpg,EVID_00019__45eb7684__05_khalti_receipt.jpg,.jpg,23769,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,True,2026-08-03T14:00:22.470Z,2026-08-03T14:00:25.657Z,processed,
EVID_00020,CASE_1A1BF573F3,06_phishing_email_screenshot.jpg,EVID_00020__b805dbe7__06_phishing_email_screenshot.jpg,.jpg,25904,b6ec522eddc05475f9ec7671ec46098a129fa8be863cc270c97b42b702e71134,b6ec522eddc05475f9ec7671ec46098a129fa8be863cc270c97b42b702e71134,True,2026-08-03T14:00:26.419Z,2026-08-03T14:00:30.515Z,processed,
EVID_00021,CASE_1A1BF573F3,07_bank_transfer_slip.pdf,EVID_00021__6a43ec88__07_bank_transfer_slip.pdf,.pdf,108986,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,True,2026-08-03T14:00:31.273Z,2026-08-03T14:00:53.237Z,processed,
